V	1.000M	100.000k	10.000k	1.000k
-3.000000E+0	5.971660E-13	5.613920E-13	4.348310E-13	5.692510E-13
-2.900000E+0	5.976420E-13	5.608180E-13	4.265610E-13	5.051610E-13
-2.800000E+0	5.973640E-13	5.633800E-13	4.512520E-13	6.210070E-13
-2.700000E+0	5.977400E-13	5.635700E-13	4.715780E-13	5.610270E-13
-2.600000E+0	5.985810E-13	5.645630E-13	4.869920E-13	6.366890E-13
-2.500000E+0	5.982000E-13	5.649740E-13	5.119080E-13	5.875180E-13
-2.400000E+0	5.997320E-13	5.667940E-13	5.188740E-13	5.544230E-13
-2.300000E+0	6.006090E-13	5.658360E-13	5.528240E-13	6.544580E-13
-2.200000E+0	6.007150E-13	5.670670E-13	5.823740E-13	6.393650E-13
-2.100000E+0	6.006670E-13	5.684760E-13	6.194560E-13	5.162470E-13
-2.000000E+0	6.028430E-13	5.703300E-13	6.312490E-13	5.550090E-13
-1.900000E+0	6.028700E-13	5.717120E-13	6.479000E-13	5.961110E-13
-1.800000E+0	6.027650E-13	5.711370E-13	6.787560E-13	6.558180E-13
-1.700000E+0	6.039750E-13	5.725700E-13	6.693000E-13	5.961870E-13
-1.600000E+0	6.042250E-13	5.741790E-13	6.482260E-13	6.027570E-13
-1.500000E+0	6.049370E-13	5.755260E-13	6.462180E-13	5.465940E-13
-1.400000E+0	6.058020E-13	5.761250E-13	6.172670E-13	5.911600E-13
-1.300000E+0	6.068220E-13	5.785220E-13	5.913150E-13	6.166590E-13
-1.200000E+0	6.061050E-13	5.801170E-13	5.519350E-13	4.916780E-13
-1.100000E+0	6.086280E-13	5.817590E-13	4.607800E-13	5.678760E-13
-1.000000E+0	6.081620E-13	5.823670E-13	4.303440E-13	5.927450E-13
-9.000000E-1	6.099100E-13	5.854200E-13	4.106860E-13	5.789320E-13
-8.000000E-1	6.101710E-13	5.857600E-13	3.995280E-13	5.053530E-13
-7.000000E-1	6.118530E-13	5.874180E-13	4.005740E-13	6.077220E-13
-6.000000E-1	6.121850E-13	5.903510E-13	4.501540E-13	5.324980E-13
-5.000000E-1	6.154440E-13	5.922790E-13	5.042490E-13	5.933340E-13
-4.000000E-1	6.172360E-13	5.938600E-13	5.523480E-13	5.717380E-13
-3.000000E-1	6.226050E-13	6.027570E-13	6.204860E-13	6.198160E-13
-2.000000E-1	6.801540E-13	7.184340E-13	9.804460E-13	1.043200E-12
-1.000000E-1	8.990400E-13	1.325970E-12	2.018910E-12	1.994740E-12
0.000000E+0	1.196320E-12	2.450960E-12	2.926430E-12	2.764890E-12
1.000000E-1	1.567980E-12	3.046300E-12	3.320370E-12	3.184480E-12
2.000000E-1	2.056860E-12	3.294890E-12	3.492340E-12	3.361130E-12
3.000000E-1	2.541300E-12	3.420410E-12	3.593420E-12	3.465960E-12
4.000000E-1	2.926020E-12	3.496080E-12	3.605940E-12	3.563930E-12
5.000000E-1	3.200230E-12	3.547230E-12	3.548540E-12	3.543350E-12
6.000000E-1	3.391510E-12	3.585170E-12	3.598820E-12	3.643630E-12
7.000000E-1	3.524580E-12	3.612470E-12	3.606800E-12	3.643380E-12
8.000000E-1	3.621960E-12	3.636560E-12	3.636350E-12	3.566730E-12
9.000000E-1	3.692360E-12	3.654600E-12	3.649610E-12	3.689330E-12
1.000000E+0	3.745250E-12	3.670280E-12	3.655350E-12	3.742060E-12
1.100000E+0	3.788550E-12	3.682370E-12	3.684560E-12	3.693430E-12
1.200000E+0	3.819660E-12	3.694170E-12	3.685230E-12	3.715410E-12
1.300000E+0	3.847010E-12	3.703780E-12	3.688770E-12	3.745560E-12
1.400000E+0	3.869880E-12	3.711390E-12	3.694320E-12	3.780280E-12
1.500000E+0	3.886840E-12	3.719170E-12	3.707520E-12	3.728920E-12
1.600000E+0	3.903060E-12	3.725560E-12	3.738630E-12	3.785840E-12
1.700000E+0	3.914540E-12	3.731080E-12	3.705440E-12	3.722930E-12
1.800000E+0	3.925740E-12	3.736450E-12	3.735780E-12	3.766290E-12
1.900000E+0	3.934980E-12	3.741150E-12	3.739270E-12	3.697570E-12
2.000000E+0	3.944720E-12	3.745700E-12	3.756480E-12	3.705050E-12
2.100000E+0	3.951120E-12	3.749350E-12	3.746650E-12	3.714480E-12
2.200000E+0	3.959090E-12	3.753380E-12	3.756380E-12	3.731040E-12
2.300000E+0	3.965160E-12	3.755740E-12	3.746980E-12	3.801470E-12
2.400000E+0	3.967980E-12	3.758890E-12	3.755960E-12	3.751840E-12
2.500000E+0	3.973590E-12	3.760900E-12	3.757610E-12	3.773480E-12
2.600000E+0	3.978480E-12	3.763780E-12	3.763930E-12	3.776820E-12
2.700000E+0	3.980490E-12	3.765040E-12	3.752990E-12	3.818600E-12
2.800000E+0	3.983970E-12	3.767750E-12	3.770770E-12	3.706860E-12
2.900000E+0	3.985930E-12	3.769420E-12	3.753160E-12	3.679310E-12
3.000000E+0	3.988730E-12	3.771770E-12	3.766830E-12	3.851470E-12
