V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	1.224050E-1	-6.256700E-2	-1.720890E-2	5.103590E-3
-2.950000E+0	-3.035560E-3	-1.754750E-2	-1.844880E-2	-1.160620E-2
-2.900000E+0	1.508720E-1	-1.252230E-2	-9.070920E-3	-2.230110E-2
-2.850000E+0	-3.971190E-2	1.390310E-2	-1.713760E-2	-3.819210E-2
-2.800000E+0	5.602200E-4	5.835360E-2	-1.534710E-2	-5.702190E-2
-2.750000E+0	4.001260E-2	8.458490E-2	-1.135450E-2	-7.878110E-2
-2.700000E+0	2.628220E-2	1.119790E-1	-7.669410E-3	-5.050100E-2
-2.650000E+0	-9.345590E-2	9.555710E-2	-1.308240E-2	1.747870E-2
-2.600000E+0	7.817880E-2	5.960940E-2	-1.881170E-2	2.423380E-2
-2.550000E+0	-1.756250E-2	4.649380E-2	-7.720790E-3	3.951290E-2
-2.500000E+0	8.056990E-2	2.235190E-2	-1.700720E-2	3.782590E-2
-2.450000E+0	-7.106870E-2	4.006380E-3	-3.456380E-3	5.045130E-2
-2.400000E+0	5.096020E-2	-4.753240E-2	-4.224030E-3	4.433950E-2
-2.350000E+0	-2.358750E-2	-4.340290E-2	-1.510000E-3	4.987690E-2
-2.300000E+0	2.301430E-2	-3.065020E-2	6.149490E-3	-1.019660E-3
-2.250000E+0	7.150510E-2	-1.540360E-3	1.074210E-2	2.188790E-2
-2.200000E+0	7.488190E-2	5.299380E-2	2.663140E-2	5.074330E-2
-2.150000E+0	1.004950E-1	7.835080E-2	4.925810E-2	6.064970E-2
-2.100000E+0	1.352810E-1	1.037790E-1	8.862680E-2	8.720630E-2
-2.050000E+0	5.687930E-2	1.394160E-1	1.352990E-1	1.132600E-1
-2.000000E+0	8.915240E-2	1.575680E-1	1.911830E-1	1.487250E-1
-1.950000E+0	8.808840E-2	1.453410E-1	2.324360E-1	1.897760E-1
-1.900000E+0	6.123050E-2	1.081880E-1	2.586480E-1	2.530540E-1
-1.850000E+0	3.101480E-2	9.118410E-2	2.627780E-1	3.066300E-1
-1.800000E+0	6.024700E-2	6.215760E-2	2.435020E-1	3.883020E-1
-1.750000E+0	5.731260E-2	4.517460E-2	2.166330E-1	4.590070E-1
-1.700000E+0	2.324590E-2	2.775860E-2	1.865580E-1	5.348130E-1
-1.650000E+0	7.659440E-2	1.344020E-2	1.580800E-1	5.875590E-1
-1.600000E+0	1.801450E-2	5.064990E-3	1.352480E-1	6.167060E-1
-1.550000E+0	-4.783060E-3	-1.233800E-3	1.146400E-1	6.283690E-1
-1.500000E+0	3.719670E-4	-2.345450E-3	9.824820E-2	6.160350E-1
-1.450000E+0	-5.884920E-3	-2.587200E-4	8.570160E-2	5.885070E-1
-1.400000E+0	-6.963380E-3	5.880670E-3	7.559450E-2	5.521010E-1
-1.350000E+0	5.073140E-3	1.094330E-2	6.549960E-2	5.175100E-1
-1.300000E+0	-2.775670E-3	1.931260E-2	5.938060E-2	4.786460E-1
-1.250000E+0	1.503670E-3	2.131410E-2	5.336570E-2	4.459660E-1
-1.200000E+0	9.633060E-3	2.301200E-2	4.835650E-2	4.163120E-1
-1.150000E+0	1.035170E-2	2.589120E-2	4.424250E-2	3.891980E-1
-1.100000E+0	4.240330E-3	2.332490E-2	4.074640E-2	3.650420E-1
-1.050000E+0	1.752910E-3	2.095450E-2	3.726670E-2	3.420450E-1
-1.000000E+0	1.103430E-2	1.164250E-2	3.452220E-2	3.232760E-1
-9.500000E-1	1.699140E-3	1.374770E-3	3.225700E-2	3.031510E-1
-9.000000E-1	-4.248530E-3	-2.478500E-3	3.080330E-2	2.865450E-1
-8.500000E-1	2.004350E-2	-6.767200E-3	2.827350E-2	2.712410E-1
-8.000000E-1	4.644370E-3	-7.859210E-3	2.700720E-2	2.575690E-1
-7.500000E-1	5.454460E-3	-1.042790E-2	2.610130E-2	2.447750E-1
-7.000000E-1	4.490730E-3	6.570170E-3	2.414160E-2	2.325970E-1
-6.500000E-1	3.135960E-3	5.326770E-3	2.326760E-2	2.216780E-1
-6.000000E-1	-1.125870E-3	6.026120E-3	2.236280E-2	2.107340E-1
-5.500000E-1	-1.175430E-2	6.689060E-3	2.068550E-2	1.996400E-1
