V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	4.727110E-13	4.316120E-13	4.254210E-13	4.310190E-13
-2.950000E+0	4.827400E-13	4.641950E-13	4.242960E-13	4.318020E-13
-2.900000E+0	4.385240E-13	4.675420E-13	4.243140E-13	4.325270E-13
-2.850000E+0	4.353810E-13	4.648090E-13	4.253330E-13	4.328250E-13
-2.800000E+0	4.471300E-13	4.605010E-13	4.250420E-13	4.330940E-13
-2.750000E+0	4.442540E-13	4.451820E-13	4.251440E-13	4.332290E-13
-2.700000E+0	4.563730E-13	4.271430E-13	4.252830E-13	4.337220E-13
-2.650000E+0	4.829280E-13	4.071540E-13	4.264950E-13	4.340020E-13
-2.600000E+0	4.206020E-13	4.064570E-13	4.252050E-13	4.357320E-13
-2.550000E+0	4.412780E-13	3.998560E-13	4.261450E-13	4.356770E-13
-2.500000E+0	4.514270E-13	3.944210E-13	4.264970E-13	4.351300E-13
-2.450000E+0	4.858070E-13	4.043260E-13	4.270040E-13	4.368890E-13
-2.400000E+0	4.849050E-13	4.153590E-13	4.269230E-13	4.381610E-13
-2.350000E+0	4.590000E-13	4.178340E-13	4.268300E-13	4.375900E-13
-2.300000E+0	4.611460E-13	4.312150E-13	4.267160E-13	4.392340E-13
-2.250000E+0	4.326080E-13	4.331600E-13	4.270330E-13	4.403450E-13
-2.200000E+0	5.040300E-13	4.429620E-13	4.276910E-13	4.406630E-13
-2.150000E+0	4.542780E-13	4.544530E-13	4.276060E-13	4.417930E-13
-2.100000E+0	4.899810E-13	4.561510E-13	4.275330E-13	4.412660E-13
-2.050000E+0	4.664320E-13	4.471160E-13	4.287270E-13	4.425060E-13
-2.000000E+0	4.269840E-13	4.387410E-13	4.288110E-13	4.440420E-13
-1.950000E+0	4.418550E-13	4.255850E-13	4.294520E-13	4.439470E-13
-1.900000E+0	4.585070E-13	4.140930E-13	4.302800E-13	4.464750E-13
-1.850000E+0	4.106110E-13	4.063290E-13	4.308980E-13	4.473700E-13
-1.800000E+0	4.930970E-13	4.001520E-13	4.308720E-13	4.493750E-13
-1.750000E+0	4.275550E-13	3.953200E-13	4.317880E-13	4.512300E-13
-1.700000E+0	4.591680E-13	4.039770E-13	4.335730E-13	4.549900E-13
