V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	2.639580E-10	2.560410E-10	8.650060E-11	2.249810E-12
-2.950000E+0	2.638080E-10	2.559850E-10	8.649630E-11	2.258730E-12
-2.900000E+0	2.636370E-10	2.559480E-10	8.656800E-11	2.261880E-12
-2.850000E+0	2.635920E-10	2.558760E-10	8.659590E-11	2.261200E-12
-2.800000E+0	2.634790E-10	2.558320E-10	8.665940E-11	2.259180E-12
-2.750000E+0	2.633090E-10	2.557420E-10	8.670520E-11	2.265890E-12
-2.700000E+0	2.632140E-10	2.556610E-10	8.678350E-11	2.276500E-12
-2.650000E+0	2.630990E-10	2.555860E-10	8.681820E-11	2.281700E-12
-2.600000E+0	2.630490E-10	2.554960E-10	8.694240E-11	2.280460E-12
-2.550000E+0	2.629050E-10	2.554030E-10	8.688530E-11	2.277970E-12
-2.500000E+0	2.628350E-10	2.553090E-10	8.698780E-11	2.277590E-12
-2.450000E+0	2.626850E-10	2.552040E-10	8.703910E-11	2.276140E-12
-2.400000E+0	2.625630E-10	2.552030E-10	8.714870E-11	2.280300E-12
-2.350000E+0	2.623990E-10	2.551150E-10	8.711940E-11	2.284300E-12
-2.300000E+0	2.623680E-10	2.550240E-10	8.722420E-11	2.290770E-12
-2.250000E+0	2.622730E-10	2.549780E-10	8.726140E-11	2.282600E-12
-2.200000E+0	2.621210E-10	2.549010E-10	8.731480E-11	2.291370E-12
-2.150000E+0	2.621080E-10	2.548200E-10	8.739270E-11	2.293760E-12
-2.100000E+0	2.619690E-10	2.547810E-10	8.740710E-11	2.291350E-12
-2.050000E+0	2.619100E-10	2.547010E-10	8.744610E-11	2.303150E-12
-2.000000E+0	2.618410E-10	2.546370E-10	8.745160E-11	2.296000E-12
-1.950000E+0	2.617140E-10	2.545810E-10	8.748210E-11	2.301270E-12
-1.900000E+0	2.616530E-10	2.545170E-10	8.756050E-11	2.303660E-12
-1.850000E+0	2.615460E-10	2.544280E-10	8.762800E-11	2.300800E-12
-1.800000E+0	2.615070E-10	2.543860E-10	8.767530E-11	2.299550E-12
-1.750000E+0	2.614060E-10	2.543140E-10	8.764370E-11	2.301700E-12
-1.700000E+0	2.612830E-10	2.542610E-10	8.765590E-11	2.305620E-12
-1.650000E+0	2.613200E-10	2.541790E-10	8.768020E-11	2.312120E-12
-1.600000E+0	2.612070E-10	2.541160E-10	8.779820E-11	2.307450E-12
-1.550000E+0	2.610900E-10	2.540960E-10	8.786110E-11	2.317790E-12
-1.500000E+0	2.611090E-10	2.540440E-10	8.789150E-11	2.321140E-12
-1.450000E+0	2.610330E-10	2.539900E-10	8.779380E-11	2.324040E-12
-1.400000E+0	2.609360E-10	2.539710E-10	8.775920E-11	2.321120E-12
-1.350000E+0	2.610200E-10	2.539240E-10	8.766080E-11	2.320680E-12
-1.300000E+0	2.608990E-10	2.539220E-10	8.765000E-11	2.324020E-12
-1.250000E+0	2.608660E-10	2.539350E-10	8.755100E-11	2.327070E-12
-1.200000E+0	2.608770E-10	2.539380E-10	8.747500E-11	2.329010E-12
-1.150000E+0	2.609270E-10	2.539640E-10	8.743790E-11	2.329760E-12
-1.100000E+0	2.608870E-10	2.540750E-10	8.742690E-11	2.330120E-12
-1.050000E+0	2.610330E-10	2.542420E-10	8.755160E-11	2.324400E-12
-1.000000E+0	2.611220E-10	2.544820E-10	8.743690E-11	2.331540E-12
-9.500000E-1	2.614990E-10	2.548100E-10	8.731100E-11	2.328140E-12
-9.000000E-1	2.615760E-10	2.552330E-10	8.714550E-11	2.327200E-12
-8.500000E-1	2.621540E-10	2.557270E-10	8.702610E-11	2.330750E-12
-8.000000E-1	2.627180E-10	2.562720E-10	8.699520E-11	2.329410E-12
-7.500000E-1	2.632480E-10	2.568860E-10	8.690240E-11	2.335810E-12
-7.000000E-1	2.639620E-10	2.575270E-10	8.686500E-11	2.338030E-12
-6.500000E-1	2.647950E-10	2.581780E-10	8.689700E-11	2.337720E-12
-6.000000E-1	2.658100E-10	2.588620E-10	8.676760E-11	2.341380E-12
-5.500000E-1	2.669940E-10	2.596010E-10	8.666530E-11	2.344130E-12
-5.000000E-1	2.689080E-10	2.603860E-10	8.659680E-11	2.343510E-12
-4.500000E-1	2.722690E-10	2.612900E-10	8.645020E-11	2.339120E-12
-4.000000E-1	2.788410E-10	2.623870E-10	8.642870E-11	2.336220E-12
-3.500000E-1	2.914320E-10	2.638390E-10	8.627560E-11	2.339740E-12
-3.000000E-1	3.083860E-10	2.661430E-10	8.604910E-11	2.342360E-12
-2.500000E-1	3.283230E-10	2.703660E-10	8.581530E-11	2.344520E-12
-2.000000E-1	3.531350E-10	2.799930E-10	8.509480E-11	2.334660E-12
-1.500000E-1	3.907010E-10	2.998910E-10	8.349530E-11	2.321650E-12
-1.000000E-1	4.500370E-10	3.344130E-10	8.056180E-11	2.289530E-12
-5.000000E-2	5.376490E-10	3.894790E-10	7.478020E-11	2.218160E-12
0.000000E+0	6.415920E-10	4.657090E-10	6.637430E-11	2.085210E-12
5.000000E-2	7.404090E-10	5.490820E-10	5.814450E-11	1.880340E-12
1.000000E-1	8.203870E-10	6.244340E-10	5.279240E-11	1.611830E-12
1.500000E-1	8.806970E-10	6.814650E-10	5.013940E-11	1.332440E-12
2.000000E-1	9.262510E-10	7.222370E-10	4.916610E-11	1.070880E-12
2.500000E-1	9.607910E-10	7.517400E-10	4.880680E-11	8.360030E-13
