V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	1.030460E-1	-6.678480E-2	2.222500E-4	6.021490E-3
-2.950000E+0	1.603110E-1	-4.246550E-2	-1.846460E-3	5.627760E-3
-2.900000E+0	-7.546660E-3	-6.950930E-3	-2.884940E-3	6.044990E-3
-2.850000E+0	-1.335210E-1	4.592670E-2	-9.894490E-4	8.707220E-3
-2.800000E+0	1.857630E-2	6.320820E-2	-4.814080E-3	8.499960E-3
-2.750000E+0	-1.257130E-1	9.473730E-2	-4.950740E-3	9.761740E-3
-2.700000E+0	-6.384460E-2	8.713600E-2	-3.756990E-3	7.606720E-3
-2.650000E+0	8.951790E-2	7.384190E-2	-5.878850E-3	9.752290E-3
-2.600000E+0	-5.118690E-3	4.190980E-2	-4.360910E-3	9.273560E-3
-2.550000E+0	-1.914800E-1	3.083500E-2	-8.424900E-3	7.921380E-3
-2.500000E+0	-4.667640E-2	-5.246200E-3	-7.629300E-3	1.250990E-2
-2.450000E+0	-2.728970E-2	-3.026410E-2	-7.592270E-3	9.443490E-3
-2.400000E+0	1.360700E-2	-3.662170E-2	-9.306460E-3	8.827750E-3
-2.350000E+0	4.120410E-2	-5.828370E-2	-1.083470E-2	1.050420E-2
-2.300000E+0	1.513330E-2	-5.928420E-2	-1.039100E-2	1.039550E-2
-2.250000E+0	3.017150E-2	-4.366990E-2	-1.182830E-2	1.230720E-2
-2.200000E+0	6.508690E-3	-3.300550E-2	-1.235330E-2	1.165360E-2
-2.150000E+0	-3.783470E-2	-7.752640E-3	-1.469730E-2	1.054310E-2
-2.100000E+0	-5.540440E-2	1.664250E-2	-1.538500E-2	1.019330E-2
-2.050000E+0	4.867760E-2	4.274690E-2	-1.427830E-2	1.222380E-2
-2.000000E+0	3.961430E-2	5.774800E-2	-1.447140E-2	1.162180E-2
-1.950000E+0	-3.259000E-2	7.365910E-2	-1.575760E-2	1.255300E-2
-1.900000E+0	6.730300E-2	5.938290E-2	-1.826450E-2	1.146120E-2
-1.850000E+0	-9.589650E-2	5.136180E-2	-1.844550E-2	1.146060E-2
-1.800000E+0	-5.209520E-2	2.890560E-2	-1.666980E-2	1.144900E-2
-1.750000E+0	-1.261020E-1	5.637570E-3	-2.130770E-2	1.305470E-2
-1.700000E+0	5.129660E-2	-4.619390E-2	-2.302220E-2	1.387100E-2
-1.650000E+0	-6.610050E-2	-5.631660E-2	-2.209440E-2	1.542400E-2
-1.600000E+0	-5.786570E-2	-6.119390E-2	-2.069650E-2	1.230200E-2
-1.550000E+0	7.331900E-2	-6.720780E-2	-2.558770E-2	1.656230E-2
-1.500000E+0	-2.454090E-2	-7.560600E-2	-2.223170E-2	1.371970E-2
-1.450000E+0	1.051480E-1	-2.104220E-2	-2.332380E-2	1.427050E-2
-1.400000E+0	-4.088620E-2	8.599010E-3	-2.147900E-2	1.412770E-2
-1.350000E+0	-2.003030E-2	2.664660E-2	-2.213250E-2	1.633190E-2
-1.300000E+0	3.448080E-2	4.573130E-2	-2.035250E-2	1.652690E-2
-1.250000E+0	-1.586970E-2	7.654710E-2	-1.818900E-2	1.667830E-2
-1.200000E+0	4.694400E-2	6.800510E-2	-1.541260E-2	1.840640E-2
-1.150000E+0	1.305890E-1	7.246410E-2	-8.835450E-3	2.125220E-2
-1.100000E+0	2.482350E-2	9.211160E-2	4.990750E-3	2.853130E-2
-1.050000E+0	8.537360E-3	9.424660E-2	2.973100E-2	4.014010E-2
-1.000000E+0	8.332960E-2	1.045640E-1	6.896710E-2	6.169850E-2
-9.500000E-1	6.147190E-2	8.593110E-2	1.310380E-1	9.785340E-2
-9.000000E-1	9.117410E-2	7.165970E-2	2.092860E-1	1.500530E-1
-8.500000E-1	5.569950E-2	5.732520E-2	2.747370E-1	2.199000E-1
-8.000000E-1	4.946490E-2	4.937140E-2	3.012490E-1	3.032700E-1
-7.500000E-1	5.664330E-2	4.281180E-2	2.864990E-1	3.917320E-1
-7.000000E-1	1.650990E-2	3.352200E-2	2.505590E-1	4.832340E-1
-6.500000E-1	-2.347530E-3	3.250250E-2	2.096550E-1	5.628910E-1
-6.000000E-1	3.486870E-2	2.784510E-2	1.722350E-1	6.176160E-1
-5.500000E-1	-9.071630E-3	2.766150E-2	1.419510E-1	6.424740E-1
-5.000000E-1	1.307970E-2	2.445970E-2	1.184290E-1	6.402080E-1
-4.500000E-1	2.823470E-3	2.264200E-2	9.930210E-2	6.195260E-1
-4.000000E-1	-1.043780E-2	2.104160E-2	8.517600E-2	5.870210E-1
-3.500000E-1	5.500340E-4	1.710470E-2	7.409430E-2	5.499620E-1
-3.000000E-1	1.254960E-3	1.344100E-2	6.528480E-2	5.112810E-1
-2.500000E-1	7.728170E-3	8.468270E-3	5.795740E-2	4.758220E-1
-2.000000E-1	8.969850E-3	7.935250E-3	5.232010E-2	4.430190E-1
-1.500000E-1	4.875420E-3	4.032700E-3	4.737710E-2	4.120970E-1
-1.000000E-1	-3.663910E-3	5.041990E-3	4.320200E-2	3.851650E-1
-5.000000E-2	-4.507870E-3	1.467320E-3	3.966690E-2	3.612410E-1
0.000000E+0	-2.742820E-3	7.407250E-4	3.678660E-2	3.393020E-1
5.000000E-2	1.602290E-2	1.106970E-3	3.419630E-2	3.202430E-1
1.000000E-1	5.937250E-3	7.179460E-3	3.201900E-2	3.027730E-1
1.500000E-1	-1.257150E-2	1.150790E-2	2.998640E-2	2.866780E-1
2.000000E-1	4.617380E-3	1.486050E-2	2.802850E-2	2.723950E-1
2.500000E-1	1.961020E-3	1.509730E-2	2.669890E-2	2.592910E-1
3.000000E-1	2.014690E-2	1.440920E-2	2.526360E-2	2.476440E-1
3.500000E-1	8.160410E-3	1.362690E-2	2.397790E-2	2.370540E-1
4.000000E-1	-6.904100E-3	9.281020E-3	2.268340E-2	2.271060E-1
4.500000E-1	5.224450E-3	5.980050E-3	2.198810E-2	2.178110E-1
5.000000E-1	-7.992680E-3	2.016890E-3	2.070990E-2	2.096090E-1
5.500000E-1	-7.218330E-3	-2.800210E-3	1.992210E-2	2.014760E-1
6.000000E-1	1.808570E-2	-3.728130E-3	1.934900E-2	1.941820E-1
6.500000E-1	5.873190E-3	-2.648940E-3	1.860030E-2	1.871260E-1
7.000000E-1	-1.180870E-2	-2.313290E-3	1.793900E-2	1.808200E-1
7.500000E-1	5.147520E-3	1.697110E-3	1.725080E-2	1.752640E-1
8.000000E-1	-4.497740E-3	2.743160E-3	1.671950E-2	1.697710E-1
8.500000E-1	-2.687680E-4	5.898460E-3	1.620520E-2	1.646820E-1
9.000000E-1	1.474960E-2	9.158090E-3	1.545020E-2	1.600390E-1
9.500000E-1	-7.065080E-3	1.118880E-2	1.535220E-2	1.556410E-1
1.000000E+0	-5.456450E-3	1.243590E-2	1.467630E-2	1.511950E-1
1.050000E+0	8.924910E-3	1.127750E-2	1.417540E-2	1.470040E-1
1.100000E+0	-8.736030E-3	1.096130E-2	1.383830E-2	1.435930E-1
1.150000E+0	-2.544430E-3	1.186980E-2	1.369890E-2	1.400470E-1
1.200000E+0	-5.267800E-4	5.813010E-3	1.336070E-2	1.360530E-1
1.250000E+0	8.377850E-3	4.326010E-3	1.293440E-2	1.331260E-1
1.300000E+0	-8.224050E-3	-1.769200E-4	1.251350E-2	1.300550E-1
1.350000E+0	8.475470E-3	-3.429970E-3	1.229040E-2	1.271170E-1
1.400000E+0	-2.147480E-3	-4.663230E-3	1.218390E-2	1.246040E-1
1.450000E+0	-3.698240E-3	-6.503260E-3	1.169650E-2	1.217840E-1
1.500000E+0	-5.041250E-3	-4.894000E-3	1.158760E-2	1.192240E-1
1.550000E+0	3.775400E-3	-1.323370E-3	1.099970E-2	1.169890E-1
1.600000E+0	-8.413880E-3	2.068600E-3	1.085580E-2	1.147520E-1
1.650000E+0	2.858970E-4	7.388700E-3	1.079750E-2	1.124490E-1
1.700000E+0	-9.799340E-4	9.469410E-3	1.037220E-2	1.102480E-1
1.750000E+0	5.552280E-3	1.456110E-2	1.054920E-2	1.080510E-1
1.800000E+0	3.629980E-3	1.575750E-2	1.037360E-2	1.061990E-1
1.850000E+0	9.053930E-3	1.367920E-2	9.882830E-3	1.045380E-1
1.900000E+0	-6.973000E-3	1.112220E-2	9.770950E-3	1.023170E-1
1.950000E+0	1.732620E-4	9.565260E-3	9.514380E-3	1.011010E-1
2.000000E+0	6.506690E-3	3.999040E-3	9.404100E-3	9.918200E-2
2.050000E+0	-2.186530E-4	-1.313340E-3	9.319970E-3	9.774190E-2
2.100000E+0	7.461270E-3	-4.249700E-3	9.280850E-3	9.606440E-2
2.150000E+0	1.497510E-2	4.648630E-3	9.059690E-3	9.434220E-2
2.200000E+0	5.709920E-3	5.097390E-3	9.241360E-3	9.325810E-2
2.250000E+0	-4.748170E-4	5.483600E-3	8.740800E-3	9.153700E-2
2.300000E+0	6.314790E-3	4.811870E-3	8.720070E-3	9.040110E-2
2.350000E+0	-9.912240E-3	4.436600E-3	8.680840E-3	8.908760E-2
