V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	4.589130E-13	4.420500E-13	4.239100E-13	4.514020E-13
-2.950000E+0	5.013790E-13	4.563720E-13	4.263510E-13	4.550650E-13
-2.900000E+0	4.859380E-13	4.695530E-13	4.273500E-13	4.571300E-13
-2.850000E+0	4.606400E-13	4.617200E-13	4.248650E-13	4.508960E-13
-2.800000E+0	4.419600E-13	4.571770E-13	4.289720E-13	4.486250E-13
-2.750000E+0	4.800640E-13	4.447960E-13	4.258990E-13	4.424620E-13
-2.700000E+0	4.520780E-13	4.279590E-13	4.276190E-13	4.274590E-13
-2.650000E+0	4.450030E-13	4.188170E-13	4.256860E-13	4.131850E-13
-2.600000E+0	5.419520E-13	4.087140E-13	4.305080E-13	4.138950E-13
-2.550000E+0	4.246740E-13	3.995060E-13	4.315430E-13	4.154070E-13
-2.500000E+0	4.836980E-13	3.910430E-13	4.307630E-13	4.172030E-13
-2.450000E+0	4.583570E-13	3.966630E-13	4.327910E-13	4.308090E-13
-2.400000E+0	4.606790E-13	4.149550E-13	4.353710E-13	4.373730E-13
-2.350000E+0	4.867690E-13	4.268910E-13	4.399870E-13	4.457800E-13
-2.300000E+0	4.450280E-13	4.511660E-13	4.422380E-13	4.234440E-13
-2.250000E+0	5.415830E-13	4.759040E-13	4.520760E-13	4.299500E-13
-2.200000E+0	5.563640E-13	5.185040E-13	4.673660E-13	4.446850E-13
-2.150000E+0	6.078500E-13	5.754660E-13	4.872570E-13	4.570000E-13
-2.100000E+0	5.707850E-13	6.372460E-13	5.230940E-13	4.880750E-13
-2.050000E+0	6.641720E-13	6.866400E-13	5.832340E-13	5.211150E-13
-2.000000E+0	6.966350E-13	7.642860E-13	6.708120E-13	5.644080E-13
-1.950000E+0	7.880040E-13	8.825180E-13	8.198620E-13	6.262500E-13
-1.900000E+0	8.362780E-13	1.053470E-12	1.028380E-12	6.870170E-13
-1.850000E+0	1.004220E-12	1.256020E-12	1.301500E-12	7.752950E-13
-1.800000E+0	1.122140E-12	1.522550E-12	1.629820E-12	8.784060E-13
-1.750000E+0	1.301580E-12	1.822130E-12	1.970900E-12	9.968940E-13
-1.700000E+0	1.488300E-12	2.129420E-12	2.303260E-12	1.127660E-12
-1.650000E+0	1.814790E-12	2.437440E-12	2.599970E-12	1.286230E-12
-1.600000E+0	2.054570E-12	2.698850E-12	2.840080E-12	1.472460E-12
-1.550000E+0	2.348330E-12	2.936420E-12	3.045340E-12	1.673270E-12
-1.500000E+0	2.608840E-12	3.144430E-12	3.203260E-12	1.892270E-12
