V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	4.091260E-13	4.095820E-13	4.163440E-13	4.211850E-13
-2.950000E+0	4.417070E-13	4.057070E-13	4.161300E-13	4.224400E-13
-2.900000E+0	4.152510E-13	4.095690E-13	4.173220E-13	4.224380E-13
-2.850000E+0	4.233390E-13	4.134040E-13	4.165130E-13	4.234350E-13
-2.800000E+0	4.542900E-13	4.121460E-13	4.183060E-13	4.234850E-13
-2.750000E+0	3.869160E-13	4.102110E-13	4.177700E-13	4.242040E-13
-2.700000E+0	3.942390E-13	4.139440E-13	4.184530E-13	4.248980E-13
-2.650000E+0	3.802920E-13	4.080450E-13	4.189810E-13	4.239130E-13
-2.600000E+0	4.618810E-13	4.108540E-13	4.193750E-13	4.260680E-13
-2.550000E+0	4.191980E-13	4.132760E-13	4.205710E-13	4.262920E-13
-2.500000E+0	3.406900E-13	4.119010E-13	4.211780E-13	4.258340E-13
-2.450000E+0	4.545750E-13	4.119540E-13	4.226770E-13	4.271420E-13
-2.400000E+0	4.882830E-13	4.154400E-13	4.212290E-13	4.269340E-13
-2.350000E+0	4.167250E-13	4.151010E-13	4.211240E-13	4.269110E-13
-2.300000E+0	4.291140E-13	4.150840E-13	4.215770E-13	4.283390E-13
-2.250000E+0	4.312090E-13	4.123040E-13	4.229670E-13	4.286280E-13
-2.200000E+0	4.086880E-13	4.169070E-13	4.216050E-13	4.289660E-13
-2.150000E+0	4.043400E-13	4.081800E-13	4.244740E-13	4.303030E-13
-2.100000E+0	4.482800E-13	4.157270E-13	4.218050E-13	4.304240E-13
-2.050000E+0	4.267170E-13	4.144150E-13	4.225660E-13	4.305160E-13
-2.000000E+0	4.633600E-13	4.137500E-13	4.250740E-13	4.321730E-13
-1.950000E+0	4.272640E-13	4.169240E-13	4.234840E-13	4.319970E-13
-1.900000E+0	3.716810E-13	4.134280E-13	4.248450E-13	4.318470E-13
-1.850000E+0	4.034980E-13	4.107750E-13	4.242030E-13	4.326900E-13
-1.800000E+0	4.030130E-13	4.078950E-13	4.221490E-13	4.330580E-13
-1.750000E+0	4.115540E-13	4.127180E-13	4.260180E-13	4.345070E-13
-1.700000E+0	3.917720E-13	4.721640E-13	4.240030E-13	4.344190E-13
-1.650000E+0	4.460220E-13	4.580470E-13	4.254990E-13	4.349110E-13
-1.600000E+0	3.931670E-13	4.068240E-13	4.256460E-13	4.375290E-13
-1.550000E+0	4.168850E-13	3.665480E-13	4.236540E-13	4.370570E-13
-1.500000E+0	3.982320E-13	3.495530E-13	4.258290E-13	4.384410E-13
-1.450000E+0	4.225700E-13	3.462890E-13	4.265430E-13	4.391340E-13
-1.400000E+0	4.104310E-13	3.565020E-13	4.257840E-13	4.401400E-13
-1.350000E+0	3.755240E-13	3.721470E-13	4.250340E-13	4.401620E-13
-1.300000E+0	4.324230E-13	3.938190E-13	4.269380E-13	4.407200E-13
-1.250000E+0	4.390690E-13	4.089990E-13	4.240870E-13	4.415870E-13
-1.200000E+0	4.253990E-13	4.148750E-13	4.251420E-13	4.437320E-13
-1.150000E+0	4.012590E-13	4.434820E-13	4.263830E-13	4.438250E-13
-1.100000E+0	4.162280E-13	4.560190E-13	4.229870E-13	4.453990E-13
-1.050000E+0	4.800970E-13	4.471260E-13	4.256450E-13	4.469780E-13
-1.000000E+0	3.865250E-13	4.303380E-13	4.266510E-13	4.473660E-13
-9.500000E-1	4.303370E-13	4.132150E-13	4.264380E-13	4.492270E-13
-9.000000E-1	4.760020E-13	4.005780E-13	4.308590E-13	4.520590E-13
-8.500000E-1	4.212870E-13	3.942590E-13	4.308150E-13	4.549240E-13
-8.000000E-1	4.786010E-13	3.880970E-13	4.296410E-13	4.587800E-13
-7.500000E-1	4.111220E-13	3.913220E-13	4.356530E-13	4.612220E-13
-7.000000E-1	4.136080E-13	3.982650E-13	4.385400E-13	4.650570E-13
-6.500000E-1	4.289470E-13	4.050990E-13	4.398050E-13	4.692580E-13
-6.000000E-1	4.444890E-13	4.196970E-13	4.421070E-13	4.730700E-13
-5.500000E-1	4.590820E-13	4.454440E-13	4.453890E-13	4.757370E-13
-5.000000E-1	4.359710E-13	4.504470E-13	4.484620E-13	4.804300E-13
-4.500000E-1	4.462190E-13	4.602440E-13	4.519620E-13	4.855790E-13
-4.000000E-1	4.637620E-13	4.617390E-13	4.530660E-13	4.901190E-13
-3.500000E-1	4.894560E-13	4.804940E-13	4.590420E-13	4.955110E-13
-3.000000E-1	5.559720E-13	4.760580E-13	4.656470E-13	5.020460E-13
-2.500000E-1	5.485960E-13	4.804530E-13	4.703460E-13	5.108860E-13
-2.000000E-1	6.632800E-13	5.064730E-13	4.827040E-13	5.187630E-13
-1.500000E-1	8.142040E-13	5.679220E-13	5.014700E-13	5.297620E-13
-1.000000E-1	1.073730E-12	6.999980E-13	5.393530E-13	5.483780E-13
-5.000000E-2	1.527840E-12	9.575710E-13	6.377190E-13	5.763460E-13
0.000000E+0	1.976470E-12	1.359790E-12	8.639230E-13	6.277140E-13
