VIN,VOUT,VREF
3.128,2.37091757,0.75
3.214,2.455260791,0.75
3.3,2.538997354,0.75
-1,9.42E-06,1
-0.914,9.42E-06,1
-0.828,9.42E-06,1
-0.742,9.42E-06,1
-0.656,9.43E-06,1
-0.57,9.44E-06,1
-0.484,9.49E-06,1
-0.398,9.61E-06,1
-0.312,9.92E-06,1
-0.226,1.07E-05,1
-0.14,1.23E-05,1
-0.054,1.55E-05,1
0.032,2.17E-05,1
0.118,9.52E-05,1
0.204,0.000716679,1
0.29,0.002790568,1
0.376,0.008122953,1
0.462,0.019106019,1
0.548,0.037423481,1
0.634,0.0631402,1
0.72,0.095182977,1
0.806,0.132258453,1
0.892,0.17334847,1
0.978,0.217832798,1
1.064,0.265467788,1
1.15,0.316324528,1
1.236,0.370703968,1
1.322,0.429014677,1
1.408,0.491603976,1
1.494,0.558575311,1
1.58,0.629678121,1
1.666,0.704345486,1
1.752,0.781852968,1
1.838,0.861489628,1
1.924,0.942659954,1
2.01,1.024910781,1
2.096,1.107915372,1
2.182,1.191443993,1
2.268,1.27533593,1
2.354,1.359477576,1
2.44,1.443786606,1
2.526,1.528200827,1
2.612,1.612670215,1
2.698,1.697150889,1
2.784,1.78160005,1
2.87,1.865971011,1
2.956,1.950207459,1
3.042,2.034235859,1
3.128,2.117954486,1
3.214,2.201216776,1
3.3,2.283805605,1
-1,4.48E-06,1.5
-0.914,4.48E-06,1.5
-0.828,4.48E-06,1.5
-0.742,4.48E-06,1.5
-0.656,4.48E-06,1.5
-0.57,4.49E-06,1.5
-0.484,4.51E-06,1.5
-0.398,4.57E-06,1.5
-0.312,4.72E-06,1.5
-0.226,5.08E-06,1.5
-0.14,5.87E-06,1.5
-0.054,7.36E-06,1.5
0.032,1.03E-05,1.5
0.118,4.53E-05,1.5
0.204,0.000343297,1.5
0.29,0.001355262,1.5
0.376,0.004061225,1.5
0.462,0.010008085,1.5
0.548,0.020738244,1.5
0.634,0.036934868,1.5
0.72,0.058245582,1.5
0.806,0.083807772,1.5
0.892,0.112756531,1.5
0.978,0.144430973,1.5
1.064,0.178389049,1.5
1.15,0.214359756,1.5
1.236,0.252192242,1.5
1.322,0.291818996,1.5
1.408,0.333233645,1.5
1.494,0.37647907,1.5
1.58,0.421641209,1.5
1.666,0.468844585,1.5
1.752,0.518246357,1.5
1.838,0.570026283,1.5
1.924,0.624370609,1.5
2.01,0.681449235,1.5
2.096,0.741387773,1.5
2.182,0.804239228,1.5
2.268,0.86996266,1.5
2.354,0.938416099,1.5
2.44,1.009367074,1.5
2.526,1.082517716,1.5
2.612,1.157536355,1.5
2.698,1.234086685,1.5
2.784,1.311848574,1.5
2.87,1.39052877,1.5
2.956,1.469862794,1.5
3.042,1.549610442,1.5
3.128,1.629547188,1.5
3.214,1.709452948,1.5
3.3,1.789098983,1.5
-1,6.16E-06,1.25
-0.914,6.16E-06,1.25
-0.828,6.16E-06,1.25
-0.742,6.16E-06,1.25
-0.656,6.16E-06,1.25
-0.57,6.17E-06,1.25
-0.484,6.20E-06,1.25
-0.398,6.28E-06,1.25
-0.312,6.48E-06,1.25
-0.226,6.98E-06,1.25
-0.14,8.07E-06,1.25
-0.054,1.01E-05,1.25
0.032,1.42E-05,1.25
0.118,6.23E-05,1.25
0.204,0.000470605,1.25
0.29,0.001849036,1.25
0.376,0.005484303,1.25
0.462,0.013285475,1.25
0.548,0.026940898,1.25
0.634,0.046959705,1.25
0.72,0.072704731,1.25
0.806,0.103099307,1.25
0.892,0.137155769,1.25
0.978,0.174153386,1.25
1.064,0.213638501,1.25
1.15,0.255375664,1.25
1.236,0.299299002,1.25
1.322,0.34547498,1.25
1.408,0.394073839,1.25
1.494,0.44534231,1.25
1.58,0.499569274,1.25
1.666,0.557037926,1.25
1.752,0.617964422,1.25
1.838,0.682434273,1.25
1.924,0.750358534,1.25
2.01,0.821471329,1.25
2.096,0.895372681,1.25
2.182,0.971597439,1.25
2.268,1.049681823,1.25
2.354,1.129208357,1.25
2.44,1.209825688,1.25
2.526,1.291249787,1.25
2.612,1.373255042,1.25
2.698,1.455661614,1.25
2.784,1.538322488,1.25
2.87,1.621111486,1.25
2.956,1.703912273,1.25
3.042,1.786607751,1.25
3.128,1.869068851,1.25
3.214,1.951141545,1.25
3.3,2.032630702,1.25
-1,3.47E-06,1.75
-0.914,3.47E-06,1.75
-0.828,3.47E-06,1.75
-0.742,3.47E-06,1.75
-0.656,3.47E-06,1.75
-0.57,3.48E-06,1.75
-0.484,3.49E-06,1.75
-0.398,3.54E-06,1.75
-0.312,3.65E-06,1.75
-0.226,3.93E-06,1.75
-0.14,4.54E-06,1.75
-0.054,5.69E-06,1.75
0.032,8.00E-06,1.75
0.118,3.51E-05,1.75
0.204,0.000265999,1.75
0.29,0.001053171,1.75
0.376,0.003176326,1.75
0.462,0.00791508,1.75
0.548,0.016644331,1.75
0.634,0.0300999,1.75
0.72,0.048109572,1.75
0.806,0.069982324,1.75
0.892,0.094976299,1.75
0.978,0.122514705,1.75
1.064,0.152209915,1.75
1.15,0.183818006,1.75
1.236,0.217187984,1.75
1.322,0.252225496,1.75
1.408,0.288871868,1.75
1.494,0.327094018,1.75
1.58,0.366880752,1.75
1.666,0.408242239,1.75
1.752,0.451210635,1.75
1.838,0.495840591,1.75
1.924,0.542208809,1.75
2.01,0.590411936,1.75
2.096,0.640562176,1.75
2.182,0.692780086,1.75
2.268,0.747184256,1.75
2.354,0.803878106,1.75
2.44,0.86293484,1.75
2.526,0.92438255,1.75
2.612,0.988192218,1.75
2.698,1.054271352,1.75
2.784,1.122464898,1.75
2.87,1.192563199,1.75
2.956,1.264314749,1.75
3.042,1.33744037,1.75
3.128,1.411645505,1.75
3.214,1.486628357,1.75
3.3,1.562082958,1.75
-1,2.80E-06,2
-0.914,2.80E-06,2
-0.828,2.80E-06,2
-0.742,2.80E-06,2
-0.656,2.80E-06,2
-0.57,2.81E-06,2
-0.484,2.82E-06,2
-0.398,2.86E-06,2
-0.312,2.95E-06,2
-0.226,3.17E-06,2
-0.14,3.67E-06,2
-0.054,4.60E-06,2
0.032,6.46E-06,2
0.118,2.83E-05,2
0.204,0.000214955,2
0.29,0.000852721,2
0.376,0.002582942,2
0.462,0.006486121,2
0.548,0.013783329,2
0.634,0.025207591,2
0.72,0.04069969,2
0.806,0.059699773,2
0.892,0.08157174,2
0.978,0.105817716,2
1.064,0.13210702,2
1.15,0.160233172,2
1.236,0.190064756,2
1.322,0.221510971,2
1.408,0.254502499,2
1.494,0.288982879,2
1.58,0.324905788,2
1.666,0.362235177,2
1.752,0.400946512,2
1.838,0.441028225,2
1.924,0.482482948,2
2.01,0.525328287,2
2.096,0.569596981,2
2.182,0.615336302,2
2.268,0.662606509,2
2.354,0.711478144,2
2.44,0.762027979,2
2.526,0.814333456,2
2.612,0.868465617,2
2.698,0.924480734,2
2.784,0.982411198,2
2.87,1.04225652,2
2.956,1.103975558,2
3.042,1.167481051,2
3.128,1.232637225,2
3.214,1.299260604,2
3.3,1.367123444,2
-1,1.639898875,-0.5
-0.914,1.639898875,-0.5
-0.828,1.639898875,-0.5
-0.742,1.639898874,-0.5
-0.656,1.639898874,-0.5
-0.57,1.639898874,-0.5
-0.484,1.639898874,-0.5
-0.398,1.639898874,-0.5
-0.312,1.639898874,-0.5
-0.226,1.639898874,-0.5
-0.14,1.639898874,-0.5
-0.054,1.639898875,-0.5
0.032,1.639898879,-0.5
0.118,1.639898893,-0.5
0.204,1.639898941,-0.5
0.29,1.639899095,-0.5
0.376,1.639899583,-0.5
0.462,1.639901102,-0.5
0.548,1.639905745,-0.5
0.634,1.639919685,-0.5
0.72,1.639960798,-0.5
0.806,1.640079903,-0.5
0.892,1.64041823,-0.5
0.978,1.641355195,-0.5
1.064,1.643846905,-0.5
1.15,1.649996725,-0.5
1.236,1.663305152,-0.5
1.322,1.687248922,-0.5
1.408,1.722871708,-0.5
1.494,1.768574259,-0.5
1.58,1.821894047,-0.5
1.666,1.880735227,-0.5
1.752,1.943592859,-0.5
1.838,2.009430214,-0.5
1.924,2.077532073,-0.5
2.01,2.147397271,-0.5
2.096,2.218667944,-0.5
2.182,2.291084092,-0.5
2.268,2.364454275,-0.5
2.354,2.438636428,-0.5
2.44,2.513524998,-0.5
2.526,2.58904209,-0.5
2.612,2.665131125,-0.5
2.698,2.741752058,-0.5
2.784,2.818877536,-0.5
2.87,2.896489583,-0.5
2.956,2.974576593,-0.5
3.042,3.053130381,-0.5
3.128,3.13214226,-0.5
3.214,3.211574715,-0.5
3.3,3.283045808,-0.5
-1,1.482733714,-0.25
-0.914,1.482733715,-0.25
-0.828,1.482733714,-0.25
-0.742,1.482733714,-0.25
-0.656,1.482733714,-0.25
-0.57,1.482733714,-0.25
-0.484,1.482733714,-0.25
-0.398,1.482733714,-0.25
-0.312,1.482733714,-0.25
-0.226,1.482733715,-0.25
-0.14,1.482733718,-0.25
-0.054,1.48273373,-0.25
0.032,1.482733768,-0.25
0.118,1.482733894,-0.25
0.204,1.482734294,-0.25
0.29,1.482735545,-0.25
0.376,1.48273938,-0.25
0.462,1.482750926,-0.25
0.548,1.482785084,-0.25
0.634,1.482884354,-0.25
0.72,1.483167366,-0.25
0.806,1.483955145,-0.25
0.892,1.486068565,-0.25
0.978,1.491370964,-0.25
1.064,1.503162055,-0.25
1.15,1.525107899,-0.25
1.236,1.558775852,-0.25
1.322,1.602914347,-0.25
1.408,1.655086632,-0.25
1.494,1.71309843,-0.25
1.58,1.775348418,-0.25
1.666,1.840730396,-0.25
1.752,1.908482537,-0.25
1.838,1.978072674,-0.25
1.924,2.049122037,-0.25
2.01,2.121356191,-0.25
2.096,2.194573462,-0.25
2.182,2.268624324,-0.25
