VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT,@TIME
2.0,0.0,3.3,8.5179e-10,-8.6476e-10,0.5,9.91e+307,1.52619,64.0
2.0,0.0,3.3,8.4914e-10,-8.6453e-10,0.5,9.91e+307,1.52628,65.0
2.0,0.0,3.3,8.5017e-10,-8.6437e-10,0.5,9.91e+307,1.526196,66.0
2.0,0.0,3.3,8.5184e-10,-8.6246e-10,0.5,9.91e+307,1.52625,67.0
2.0,0.0,3.3,8.5126e-10,-8.6566e-10,0.5,9.91e+307,1.526238,68.0
2.0,0.0,3.3,8.4771e-10,-8.6466e-10,0.5,9.91e+307,1.52634,69.0
2.0,0.0,3.3,8.4969e-10,-8.6524e-10,0.5,9.91e+307,1.526258,70.0
2.0,0.0,3.3,8.4879e-10,-8.6165e-10,0.5,9.91e+307,1.526324,71.0
2.0,0.0,3.3,8.5049e-10,-8.6737e-10,0.5,9.91e+307,1.526198,72.0
2.0,0.0,3.3,8.5077e-10,-8.6646e-10,0.5,9.91e+307,1.526238,73.0
2.0,0.0,3.3,8.504e-10,-8.6616e-10,0.5,9.91e+307,1.526182,74.0
2.0,0.0,3.3,8.492e-10,-8.6426e-10,0.5,9.91e+307,1.526238,75.0
2.0,0.0,3.3,8.4786e-10,-8.6313e-10,0.5,9.91e+307,1.526316,76.0
2.0,0.0,3.3,8.488e-10,-8.6331e-10,0.5,9.91e+307,1.526336,77.0
2.0,0.0,3.3,8.504e-10,-8.6436e-10,0.5,9.91e+307,1.526146,78.0
2.0,0.0,3.3,8.4686e-10,-8.6155e-10,0.5,9.91e+307,1.526342,79.0
2.0,0.0,3.3,8.489e-10,-8.6315e-10,0.5,9.91e+307,1.526314,80.0
2.0,0.0,3.3,8.4785e-10,-8.6346e-10,0.5,9.91e+307,1.52627,81.0
2.0,0.0,3.3,8.4674e-10,-8.6381e-10,0.5,9.91e+307,1.526268,82.0
2.0,0.0,3.3,8.4678e-10,-8.629e-10,0.5,9.91e+307,1.52642,83.0
2.0,0.0,3.3,8.4738e-10,-8.649e-10,0.5,9.91e+307,1.52631,84.0
