VIN,VOUT,VREF
0,0.259178488,0
0.066,0.30183597,0
0.132,0.347326036,0
0.198,0.395194641,0
0.264,0.444949543,0
0.33,0.496221787,0
0.396,0.548732476,0
0.462,0.602268491,0
0.528,0.656665117,0
0.594,0.711793712,0
0.66,0.767552923,0
0.726,0.823862379,0
0.792,0.880658107,0
0.858,0.937889153,0
0.924,0.995515048,0
0.99,1.053503871,0
1.056,1.111830721,0
1.122,1.170476482,0
1.188,1.229426777,0
1.254,1.288671043,0
1.32,1.3482017,0
1.386,1.408013365,0
1.452,1.46810212,0
1.518,1.52846483,0
1.584,1.58909853,0
1.65,1.649999902,0
1.716,1.711164854,0
1.782,1.772588236,0
1.848,1.834263675,0
1.914,1.896183536,0
1.98,1.958339001,0
2.046,2.020720218,0
2.112,2.083316514,0
2.178,2.146116638,0
2.244,2.209108999,0
2.31,2.2722819,0
2.376,2.335623736,0
2.442,2.399123164,0
2.508,2.462769236,0
2.574,2.526551492,0
2.64,2.590460027,0
2.706,2.65448553,0
2.772,2.718619298,0
2.838,2.782853237,0
2.904,2.847179841,0
2.97,2.911592164,0
3.036,2.976083764,0
3.102,3.040648571,0
3.168,3.105280366,0
3.234,3.169969003,0
3.3,3.234623746,0
0,0.000140913,0.5
0.066,0.000217555,0.5
0.132,0.001050985,0.5
0.198,0.004497451,0.5
0.264,0.012342012,0.5
0.33,0.026514879,0.5
0.396,0.047934979,0.5
0.462,0.076308954,0.5
0.528,0.110906955,0.5
0.594,0.151340608,0.5
0.66,0.197734798,0.5
0.726,0.250140724,0.5
0.792,0.307711316,0.5
0.858,0.368834539,0.5
0.924,0.432024851,0.5
0.99,0.496335042,0.5
1.056,0.56124926,0.5
1.122,0.626498299,0.5
1.188,0.691940258,0.5
1.254,0.757497938,0.5
1.32,0.823127702,0.5
1.386,0.888803912,0.5
1.452,0.954510946,0.5
1.518,1.020238969,0.5
1.584,1.085981594,0.5
1.65,1.151734555,0.5
1.716,1.21749493,0.5
1.782,1.283260664,0.5
1.848,1.349030273,0.5
1.914,1.414802655,0.5
1.98,1.48057696,0.5
2.046,1.546352511,0.5
2.112,1.612128736,0.5
2.178,1.677905121,0.5
2.244,1.74368117,0.5
2.31,1.809456372,0.5
2.376,1.875230153,0.5
2.442,1.941001835,0.5
2.508,2.006770572,0.5
2.574,2.072535261,0.5
2.64,2.138294421,0.5
2.706,2.204046,0.5
2.772,2.26978708,0.5
2.838,2.335513404,0.5
2.904,2.401218595,0.5
2.97,2.466892822,0.5
3.036,2.532520445,0.5
3.102,2.598075706,0.5
3.168,2.663514493,0.5
3.234,2.728757917,0.5
3.3,2.793658176,0.5
0,0.001236804,0.25
0.066,0.001880386,0.25
0.132,0.00766494,0.25
0.198,0.0257456,0.25
0.264,0.054951593,0.25
0.33,0.096931341,0.25
0.396,0.153112767,0.25
0.462,0.216330805,0.25
0.528,0.281455856,0.25
0.594,0.347039801,0.25
0.66,0.412779316,0.25
0.726,0.478579744,0.25
0.792,0.544407384,0.25
0.858,0.610248501,0.25
0.924,0.676096849,0.25
0.99,0.741949333,0.25
1.056,0.807804305,0.25
1.122,0.873660836,0.25
1.188,0.939518379,0.25
1.254,1.005376595,0.25
1.32,1.07123527,0.25
1.386,1.13709426,0.25
1.452,1.202953471,0.25
1.518,1.268812834,0.25
1.584,1.334672302,0.25
1.65,1.400531839,0.25
1.716,1.466391419,0.25
1.782,1.53225102,0.25
1.848,1.598110623,0.25
1.914,1.663970214,0.25
1.98,1.729829777,0.25
2.046,1.795689297,0.25
2.112,1.861548757,0.25
2.178,1.927408136,0.25
2.244,1.993267411,0.25
2.31,2.05912655,0.25
2.376,2.124985511,0.25
2.442,2.190844235,0.25
2.508,2.256702641,0.25
2.574,2.322560608,0.25
2.64,2.388417957,0.25
2.706,2.454274413,0.25
2.772,2.520129534,0.25
2.838,2.585982593,0.25
2.904,2.651832331,0.25
