VG,ID,VD
-2,4.84E-11,2.50E+00
-1.9,4.84E-11,2.50E+00
-1.8,4.84E-11,2.50E+00
-1.7,4.84E-11,2.50E+00
-1.6,4.84E-11,2.50E+00
-1.5,4.84E-11,2.50E+00
-1.4,4.84E-11,2.50E+00
-1.3,4.84E-11,2.50E+00
-1.2,4.84E-11,2.50E+00
-1.1,4.84E-11,2.50E+00
-1,4.84E-11,2.50E+00
-0.9,4.84E-11,2.50E+00
-0.8,4.85E-11,2.50E+00
-0.7,4.85E-11,2.50E+00
-0.6,4.86E-11,2.50E+00
-0.5,4.88E-11,2.50E+00
-0.4,4.97E-11,2.50E+00
-0.3,5.23E-11,2.50E+00
-0.2,5.95E-11,2.50E+00
-0.1,7.63E-11,2.50E+00
0,1.10E-10,2.50E+00
0.1,3.63E-10,2.50E+00
0.2,4.51E-09,2.50E+00
0.3,2.24E-08,2.50E+00
0.4,7.98E-08,2.50E+00
0.5,2.28E-07,2.50E+00
0.6,5.33E-07,2.50E+00
0.7,1.04E-06,2.50E+00
0.8,1.76E-06,2.50E+00
0.9,2.67E-06,2.50E+00
1,3.75E-06,2.50E+00
1.1,5.02E-06,2.50E+00
1.2,6.47E-06,2.50E+00
1.3,8.13E-06,2.50E+00
1.4,1.00E-05,2.50E+00
1.5,1.21E-05,2.50E+00
1.6,1.44E-05,2.50E+00
1.7,1.69E-05,2.50E+00
1.8,1.97E-05,2.50E+00
1.9,2.27E-05,2.50E+00
2,2.59E-05,2.50E+00
2.1,2.93E-05,2.50E+00
2.2,3.29E-05,2.50E+00
2.3,3.67E-05,2.50E+00
2.4,4.07E-05,2.50E+00
2.5,4.48E-05,2.50E+00
2.6,4.91E-05,2.50E+00
2.7,5.36E-05,2.50E+00
2.8,5.82E-05,2.50E+00
2.9,6.30E-05,2.50E+00
3,6.78E-05,2.50E+00
-2,6.39E-11,3.30E+00
-1.9,6.39E-11,3.30E+00
-1.8,6.39E-11,3.30E+00
-1.7,6.39E-11,3.30E+00
-1.6,6.39E-11,3.30E+00
-1.5,6.39E-11,3.30E+00
-1.4,6.39E-11,3.30E+00
-1.3,6.39E-11,3.30E+00
-1.2,6.39E-11,3.30E+00
-1.1,6.39E-11,3.30E+00
-1,6.39E-11,3.30E+00
-0.9,6.39E-11,3.30E+00
-0.8,6.40E-11,3.30E+00
-0.7,6.40E-11,3.30E+00
-0.6,6.41E-11,3.30E+00
-0.5,6.43E-11,3.30E+00
-0.4,6.52E-11,3.30E+00
-0.3,6.78E-11,3.30E+00
-0.2,7.51E-11,3.30E+00
-0.1,9.22E-11,3.30E+00
0,1.27E-10,3.30E+00
0.1,3.83E-10,3.30E+00
0.2,4.58E-09,3.30E+00
0.3,2.27E-08,3.30E+00
0.4,8.08E-08,3.30E+00
0.5,2.30E-07,3.30E+00
0.6,5.40E-07,3.30E+00
0.7,1.06E-06,3.30E+00
0.8,1.78E-06,3.30E+00
0.9,2.70E-06,3.30E+00
1,3.80E-06,3.30E+00
1.1,5.08E-06,3.30E+00
1.2,6.56E-06,3.30E+00
1.3,8.25E-06,3.30E+00
1.4,1.02E-05,3.30E+00
1.5,1.23E-05,3.30E+00
1.6,1.47E-05,3.30E+00
1.7,1.73E-05,3.30E+00
1.8,2.01E-05,3.30E+00
1.9,2.32E-05,3.30E+00
2,2.65E-05,3.30E+00
